id,hindi_idiom,hindi_sentence,english_translation,idiom_meaning
1,हाथ जोड़ना,किसान सरकार से मदद के लिए हाथ जोड़कर गुहार लगा रहा था।,The farmer was pleading with the government for help.,To plead or beg humbly.
2,डूबते को तिनके का सहारा,डूबते को तिनके का सहारा समझकर उसने छोटी सी मदद भी स्वीकार कर ली।,"Desperate for help, he accepted even the smallest assistance.",A desperate person will accept even the slightest help.
3,दो नावों की सवारी,दो नावों की सवारी करने वालों को अंत में दोनों ही नावों से पानी में गिरना पड़ता है।,Those who try to ride two boats at once eventually lose both.,To pursue two conflicting goals at the same time.
4,मुँहतोड़ जवाब,उसने मुँहतोड़ जवाब देकर अपने आलोचकों को चुप करा दिया।,He gave his critics a fitting reply and silenced them.,A strong or decisive reply.
5,सरकार का दामाद,ऐसे सरकार के दामादों की वजह से भ्रष्टाचार बढ़ता है।,Corruption increases because such people receive excessive government favors.,A person who receives excessive benefits or special treatment from the government.
6,दूध का दूध और पानी का पानी,उसने अपनी रिपोर्ट में दूध का दूध और पानी का पानी कर दिया।,His report clearly separated the truth from the falsehood.,To make the truth and facts completely clear.
7,अपना उल्लू सीधा करना,वह हमेशा अपना उल्लू सीधा करने की कोशिश करता है।,He always tries to serve his own interests.,To serve one's own selfish interests.
8,रामबाण,इस समस्या के लिए यह उपाय रामबाण साबित हुआ।,This solution proved to be a sure remedy for the problem.,A highly effective remedy or solution.
9,बकरे की माँ कब तक ख़ैर मनायेगी,अभी खतरा टला नहीं है; बकरे की माँ कब तक ख़ैर मनायेगी।,The danger has not passed; sooner or later the inevitable may happen.,One cannot escape an inevitable danger forever.
10,नाम बड़े और दर्शन छोटे,"उस दुकान का बहुत नाम था, लेकिन वहाँ पहुँचकर पता चला कि नाम बड़े और दर्शन छोटे।","The shop was famous, but its actual quality was disappointing.",A person or thing is famous by name but unimpressive in reality.
11,साँच को आँच नहीं,"उसे किसी झूठे आरोप का डर नहीं था, क्योंकि साँच को आँच नहीं।",He was not afraid of the false accusation because truth needs no protection.,A truthful person has nothing to fear.
12,सीधी उंगली से घी नहीं निकलता,इस काम के लिए थोड़ी सख्ती करनी पड़ेगी; सीधी उंगली से घी नहीं निकलता।,We will have to be a little firm; gentle methods will not work here.,Sometimes firmness or cleverness is necessary to get something done.
13,पल्ले नहीं पड़ना,"शिक्षक ने कई बार समझाया, लेकिन बात उसके पल्ले नहीं पड़ी।","The teacher explained it several times, but he could not understand it.",To fail to understand something.
14,आस्तीन का सांप,"जिस व्यक्ति पर हमने भरोसा किया, वही आस्तीन का सांप निकला।",The person we trusted turned out to be a hidden enemy.,A trusted person who secretly betrays or harms you.
15,बाल-बाल बचना,तेज रफ्तार कार की चपेट में आने से वह बाल-बाल बच गया।,He narrowly escaped being hit by the speeding car.,To narrowly escape danger.
16,खाली दिमाग शैतान का घर,बुजुर्ग हमेशा कहते हैं कि खाली दिमाग शैतान का घर होता है।,Elders always say that an idle mind is the devil's workshop.,Idleness can lead to undesirable thoughts or actions.
17,आम के आम गुठलियों के दाम,इस योजना से पैसे भी बचेंगे और समय भी; आम के आम गुठलियों के दाम।,This plan will save both money and time; it gives us two benefits at once.,To get two benefits from one thing.
18,पाँचों उंगलियाँ बराबर नहीं होती,सभी लोगों की क्षमता एक जैसी नहीं होती; पाँचों उंगलियाँ बराबर नहीं होतीं।,Everyone has different abilities; all five fingers are not equal.,People are different from one another.
19,"काम का न काज का, दुश्मन अनाज का","वह न कोई काम करता है और न दूसरों को करने देता है; काम का न काज का, दुश्मन अनाज का।",He does no useful work and only wastes resources.,A useless person who contributes nothing but consumes resources.
20,अधजल गगरी छलकत जाय,"उसे विषय की थोड़ी जानकारी है, फिर भी वह बहुत दिखावा करता है; अधजल गगरी छलकत जाय।",He knows very little about the subject but boasts a lot; empty vessels make the most noise.,A person with little knowledge often shows it off.
21,आँख मारना,"राहुल ने दस्तावेज़ देते हुए आँख मारी, जो एक गुप्त संकेत था।",Rahul winked while handing over the document as a secret signal.,To wink as a signal or hint.
22,ऊँट के मुँह में जीरा,इतनी बड़ी समस्या के सामने यह छोटी-सी मदद ऊँट के मुँह में जीरा है।,This small amount of help is far too little for such a huge problem.,An amount that is far too small for the need.
23,नाच न जाने आँगन टेढ़ा,अपनी गलती मानने के बजाय वह दूसरों को दोष देता है; नाच न जाने आँगन टेढ़ा।,"Instead of admitting his mistake, he blames others; a bad dancer blames the floor.",To blame circumstances for one's own shortcomings.
24,मन मारना,मैंने मन मारकर मिठाई नहीं खाई क्योंकि मैं डाइट पर था।,I reluctantly gave up the sweets because I was on a diet.,To suppress one's desire or feelings.
25,दूर के ढोल सुहावने लगते हैं,"दूसरे शहर की नौकरी दूर से बहुत अच्छी लगती थी, लेकिन वहाँ जाकर कठिनाइयों का पता चला; दूर के ढोल सुहावने लगते हैं।","The job in another city looked attractive from afar, but its difficulties became clear after moving there.",Things seem more attractive when viewed from a distance.
26,मगरमच्छ के आँसू,अपनी गलती के बाद उसके मगरमच्छ के आँसू देखकर किसी को विश्वास नहीं हुआ।,No one believed his crocodile tears after his mistake.,Insincere tears or false sympathy.
27,मरता क्या न करता,"मरता क्या न करता, उसने मजबूरी में वह कठिन काम स्वीकार कर लिया।",He accepted the difficult task out of desperation because he had no other choice.,A desperate person will do whatever is necessary.
28,कुएँ का मेंढक,"जो व्यक्ति अपने छोटे से संसार से बाहर की दुनिया को नहीं जानता, वह कुएँ का मेंढक कहलाता है।",A person who knows nothing beyond his small world is like a frog in a well.,A person with a very limited outlook or experience.
29,मियाँ बीवी राज़ी तो क्या करेगा काज़ी,"जब दोनों परिवारों की सहमति थी, तो किसी तीसरे व्यक्ति की जरूरत नहीं थी; मियाँ बीवी राज़ी तो क्या करेगा काज़ी।","When the two people involved agree, outside interference is unnecessary.","When the concerned parties agree, outsiders cannot interfere."
30,सर खाना,बार-बार एक ही बात पूछकर मेरा सर मत खाओ।,Don't pester me by asking the same thing repeatedly.,To annoy or pester someone repeatedly.
31,कमर तोड़ना,महँगाई ने आम लोगों की कमर तोड़ दी है।,Inflation has severely burdened ordinary people.,To severely weaken or burden someone.
32,मुल्ला की दौड़ मस्जिद तक,वह हर समस्या का समाधान अपनी पार्टी तक ही सीमित रखता है; मुल्ला की दौड़ मस्जिद तक।,His thinking never goes beyond his own party; his outlook is very limited.,A person's efforts or thinking remain confined to a narrow limit.
33,बूढ़ी घोड़ी लाल लगाम,बूढ़ी उम्र में वह बहुत भड़कीले कपड़े पहनकर घूमती है; बूढ़ी घोड़ी लाल लगाम।,"At an old age, she dresses in overly flashy clothes; an old mare with a red bridle.",An elderly person trying too hard to appear youthful or fashionable.
34,उल्टा चोर कोतवाल को डांटे,अपनी गलती के लिए माफी माँगने के बजाय वह शिकायत करने वाले को ही डाँटने लगा; उल्टा चोर कोतवाल को डांटे।,"Instead of apologizing for his mistake, he scolded the person who complained; the guilty person is blaming the accuser.",A guilty person blaming or accusing the innocent.
