hindi,english
"रस्सी जल गयी, बल नहीं गया","Even after hitting rock bottom, their arrogance remains unchanged."
"दाल में कुछ काला है","Something is fishy."
"नौ दो ग्यारह होना","To run away quickly."
"ऊंट के मुंह में जीरा","A very small amount compared with what is needed."
"आसमान से गिरा, खजूर में अटका","Out of one difficult situation and into another."
"दो नावों की सवारी","Trying to pursue two conflicting paths at the same time."
"डूबते को तिनके का सहारा","A drowning person will grasp even a straw; a desperate person accepts any small help."
"सीना चौड़ा होना","To feel proud or become confident."
"घर की मुर्गी दाल बराबर","Familiar things are often undervalued."
"अब पछताए होत क्या जब चिड़िया चुग गई खेत","There is no use regretting after the opportunity is lost."
