id,hindi_idiom,hindi_sentence,english_translation,idiom_meaning,model_prediction,meteor_score
1,हाथ जोड़ना,किसान सरकार से मदद के लिए हाथ जोड़कर गुहार लगा रहा था।,The farmer was pleading with the government for help.,To plead or beg humbly.,The farmer was working with the government to help.,0.7471655328798186
2,डूबते को तिनके का सहारा,डूबते को तिनके का सहारा समझकर उसने छोटी सी मदद भी स्वीकार कर ली।,"Desperate for help, he accepted even the smallest assistance.",A desperate person will accept even the slightest help.,He even accepted small help as he looked for the crash.,0.27173913043478265
3,दो नावों की सवारी,दो नावों की सवारी करने वालों को अंत में दोनों ही नावों से पानी में गिरना पड़ता है।,Those who try to ride two boats at once eventually lose both.,To pursue two conflicting goals at the same time.,The two boats finally fall into the water.,0.16163793103448273
4,मुँहतोड़ जवाब,उसने मुँहतोड़ जवाब देकर अपने आलोचकों को चुप करा दिया।,He gave his critics a fitting reply and silenced them.,A strong or decisive reply.,He answered yes to his critics.,0.10416666666666666
5,सरकार का दामाद,ऐसे सरकार के दामादों की वजह से भ्रष्टाचार बढ़ता है।,Corruption increases because such people receive excessive government favors.,A person who receives excessive benefits or special treatment from the government.,The state's son - in - law creates corruption.,0.0
6,दूध का दूध और पानी का पानी,उसने अपनी रिपोर्ट में दूध का दूध और पानी का पानी कर दिया।,His report clearly separated the truth from the falsehood.,To make the truth and facts completely clear.,"In his report, he used the milk and the water to give him the milk.",0.15625
7,अपना उल्लू सीधा करना,वह हमेशा अपना उल्लू सीधा करने की कोशिश करता है।,He always tries to serve his own interests.,To serve one's own selfish interests.,He always tries to direct his ass.,0.6126582278481013
8,रामबाण,इस समस्या के लिए यह उपाय रामबाण साबित हुआ।,This solution proved to be a sure remedy for the problem.,A highly effective remedy or solution.,This solution proved to be a solution.,0.564727463312369
9,बकरे की माँ कब तक ख़ैर मनायेगी,अभी खतरा टला नहीं है; बकरे की माँ कब तक ख़ैर मनायेगी।,The danger has not passed; sooner or later the inevitable may happen.,One cannot escape an inevitable danger forever.,The danger isn 't yet going to happen; how long will the mother of the goat be welcome.,0.11904761904761905
10,नाम बड़े और दर्शन छोटे,"उस दुकान का बहुत नाम था, लेकिन वहाँ पहुँचकर पता चला कि नाम बड़े और दर्शन छोटे।","The shop was famous, but its actual quality was disappointing.",A person or thing is famous by name but unimpressive in reality.,"The store was well - known, but being there found out that name big and small.",0.2977594339622642
11,साँच को आँच नहीं,"उसे किसी झूठे आरोप का डर नहीं था, क्योंकि साँच को आँच नहीं।",He was not afraid of the false accusation because truth needs no protection.,A truthful person has nothing to fear.,"He wasn 't afraid of any false charge, because he didn 't want to save the two.",0.3579043557721596
12,सीधी उंगली से घी नहीं निकलता,इस काम के लिए थोड़ी सख्ती करनी पड़ेगी; सीधी उंगली से घी नहीं निकलता।,We will have to be a little firm; gentle methods will not work here.,Sometimes firmness or cleverness is necessary to get something done.,"I couldn 't do it anymore, but I couldn 't use a simple hand.",0.03571428571428571
13,पल्ले नहीं पड़ना,"शिक्षक ने कई बार समझाया, लेकिन बात उसके पल्ले नहीं पड़ी।","The teacher explained it several times, but he could not understand it.",To fail to understand something.,"The teacher explained several times, but he could not understand.",0.7585268884703913
14,आस्तीन का सांप,"जिस व्यक्ति पर हमने भरोसा किया, वही आस्तीन का सांप निकला।",The person we trusted turned out to be a hidden enemy.,A trusted person who secretly betrays or harms you.,The one on whom we trusted became the bug.,0.23662551440329216
