hindi,english
विन्यास विकल्पः,Configure Options:
छैतिज पैमाना,Profile Plugins
~ a को एक ईंट का छक्का पर ले जाएँ,Move ~ a onto the six of diamonds.
विधि,Method
Default Text below icons Text beside icons Icons only Text only,Default Text below icons Text beside icons Icons only Text only
मध्य यूरोपीय,Central European
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ल. बालसुब्रमण्यम (l. balasubramaniam @gmail. com) ,translator - credits
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बर्तमान फाइल को बंद करें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वर्तमान फाइल को बंद करें,Compile current editor file
स्रोतः,Source:
पोकर,Poker
नया (_ N) _ New Game,_ New
Anjuta advanced tutorial,Anjuta advanced tutorial
शेष ताशः ~ a,Cards remaining: ~ a
इंटरफेसः,Interface:
% d%% Not ApplicableNot Applicable,% d%%
हुकुम की दुक्का के बगल में हुकुम के इक्का को रखें. ,Place the two of spades next to the ace of spades.
एक अंतर्क्रियात्मक पाइथन पहुंचनीयता अन्वेषक,An interactive Python accessibility explorer
"0, 0","0, 0"
gtk-doc सिस्टम जोड़ेंः,Add gtk - doc system:
विकल्प,Import options
#-#-#-#-#gnome-media. HEAD. hi. po (gnome-media 2.0) #-#-#-#-#सर्वर #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#सरवर,Step over
ओफसेट,Offset
नया कार्ड डील करें,Deal a new card
आप एक छक्का के लिए खोज रहे हैं. ,You are searching for a six.
Anjuta घर पेज (_ H) ,Anjuta Home Page
क्लिक करके ताश ले या छोड़ें,Pick up and drop cards by clicking
चिड़ी का अट्ठा,eight of clubs
वर्णन,Font description
नया खेल,New Game
पसंद (_ P)... ,_ Preferences...
फिर बांटने के लिये किसी कार्ड को दो बार क्लिक करें,Double click any card to redeal.
~ a को हुकुम का अट्ठा पर घुमाएँ. ,Move ~ a onto the eight of spades.
“% s” खेल आरंभ नहीं कर सका,Cannot start the game “% s”
GtkSourceView Editor,GtkSourceView Editor
गैर संस्करण,Unversioned
Scratchbox,Scratchbox
Anjuta शेल,Anjuta Shell
~ a को लाल पान का दुक्का पर घुमाएँ. ,Move ~ a onto the two of hearts.
नया दृश्य... ,New View...
ग्लेड अतंरफलक डिजायनर,Glade interface designer
प्रोजेक्ट साफ करें (_ C) ,_ Clean Project
~ a को काला जोकर पर ले जाएँ. ,Move ~ a onto the black joker.
छोड़ रहा हैः% s,Leaving:% s
हुकुम का दहला हटाएँ. ,Remove the two of spades.
जब व्यवसायी न हो तो हाट और शासक भी वह काम करते हैं,"When without a stapler, a staple and a ruler will work"
वर्गः,Category:
आधार खाली करें,empty foundation
एक पंजा को आप ढूंढ रहे हैं. ,You are searching for a five.
पैचेस,Patches
अत्यावश्यक,Urgent
स्पेसिंग,CVS operations
बादशाह,king
बरबादीfoundationslot hint,waste
नया दृश्य... ,New View...
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#वर्तमान फाइल को संग्रहित करें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वर्तमान फाइल संग्रहित करें,Clean module associated with current file
फोटो,Photos
गनोम सॉलिटेयर,GNOME Solitaire
कोरियन,Korean
न्यूनतम वृद्धि,Minimum increment
जैंगो परियोजना,Django Project
दोषमुक्त करें,DEBUG
परियोजना प्रबंधक,Project Manager
एक स्ट्रिंग देनी ही होगी,You must provide a tool command!
ऑप्टीमाइज़्ड,Optimized
मिटाकर लिखें,OVR
शीर्षकः,Caption:
चिड़ी का बादशाह हटाएँ. ,Remove the king of clubs.
"नाम (x, y) ","name (x, y)"
लाल पान का बादशाह,the king of hearts
स्मार्ट हाशिया सक्रिय करें,Enable smart indentation
हाल में खेला गया (_ R) ,_ Recently Played
भिन्न प्रकार के सॉलिटेयर खेल खेलें,Play many different solitaire games
चिड़ी का नहला,nine of clubs
विन्यास विकल्पः,Configure Options:
समूह गुण,Group doesn 't exist
निचले पटल के लिए डिफोल्ट प्लग-इन खाका,The default plugin layout for the bottom panel
नेपोलियन मकबरा,Napoleons Tomb
नया,New
पसंद (_ P)... ,_ Preferences...
एक दौर और चलें,Deal another round
% s का कोई नाम या विवरण नहीं,% s has no name or description
पथः,Path:
टर्मिनल में चलाएँ,Run in terminal
"रीसेट करें (_ R) _ Restart ""is the menu item 'Game-> Restart', implies"" Restart Game",_ Reset
लाल पान की तिक्की,three of hearts
/ बुकमार्क संशोधन,Prev bookmark
अल्ड लेंग स्याने,Auld Lang Syne
हाइपरपाठ,H _ ypertext
~ a को एक ईंट का अट्ठा पर ले जाएँ,Move ~ a onto the eight of diamonds.
मोड्यूल,Module
हुकुम का दहला हटाएँ. ,Remove the three of spades.
आधार पत्ताः ~ a,Base Card: ~ a
छह आधार,Six Foundations
प्रोजेक्ट बिल्ड करें (_ B) ,_ Build Project
हुकुम का सत्ता,seven of spades
प्रसंग फाइल नाम,Theme file name
हाशिया पैरामीटर,Indentation parameters
लाल पान का बादशाह हटाएँ. ,Remove the six of hearts.
