source,target
किसान सरकार से मदद के लिए हाथ जोड़कर गुहार लगा रहा था।,The farmer was pleading with the government for help.
डूबते को तिनके का सहारा समझकर उसने छोटी सी मदद भी स्वीकार कर ली।,"Desperate for help, he accepted even the smallest assistance."
दो नावों की सवारी करने वालों को अंत में दोनों ही नावों से पानी में गिरना पड़ता है।,Those who try to ride two boats at once eventually lose both.
उसने मुँहतोड़ जवाब देकर अपने आलोचकों को चुप करा दिया।,He gave his critics a fitting reply and silenced them.
ऐसे सरकार के दामादों की वजह से भ्रष्टाचार बढ़ता है।,Corruption increases because such people receive excessive government favors.
उसने अपनी रिपोर्ट में दूध का दूध और पानी का पानी कर दिया।,His report clearly separated the truth from the falsehood.
वह हमेशा अपना उल्लू सीधा करने की कोशिश करता है।,He always tries to serve his own interests.
इस समस्या के लिए यह उपाय रामबाण साबित हुआ।,This solution proved to be a sure remedy for the problem.
अभी खतरा टला नहीं है; बकरे की माँ कब तक ख़ैर मनायेगी।,The danger has not passed; sooner or later the inevitable may happen.
"उस दुकान का बहुत नाम था, लेकिन वहाँ पहुँचकर पता चला कि नाम बड़े और दर्शन छोटे।","The shop was famous, but its actual quality was disappointing."
"उसे किसी झूठे आरोप का डर नहीं था, क्योंकि साँच को आँच नहीं।",He was not afraid of the false accusation because truth needs no protection.
इस काम के लिए थोड़ी सख्ती करनी पड़ेगी; सीधी उंगली से घी नहीं निकलता।,We will have to be a little firm; gentle methods will not work here.
"शिक्षक ने कई बार समझाया, लेकिन बात उसके पल्ले नहीं पड़ी।","The teacher explained it several times, but he could not understand it."
"जिस व्यक्ति पर हमने भरोसा किया, वही आस्तीन का सांप निकला।",The person we trusted turned out to be a hidden enemy.
तेज रफ्तार कार की चपेट में आने से वह बाल-बाल बच गया।,He narrowly escaped being hit by the speeding car.
बुजुर्ग हमेशा कहते हैं कि खाली दिमाग शैतान का घर होता है।,Elders always say that an idle mind is the devil's workshop.
