idiom,sentence,matched_span,register,region,english_meaning,quality,notes
हाथ जोड़ना,किसान सरकार से मदद के लिए हाथ जोड़कर गुहार लगा रहा था।,हाथ जोड़कर,['neutral'],['Khari Boli Hindi'],,,
बाल-बाल मोती पिरोना,"सीमा ने इस प्रोजेक्ट पर बाल-बाल मोती पिरोना की तरह काम किया, हर डिटेल पर ध्यान दिया।",बाल-बाल मोती पिरोना,['literary'],['Khari Boli Hindi'],,,
डूबते को तिनके का सहारा,डूबते को तिनके का सहारा समझकर उसने छोटी सी मदद भी स्वीकार कर ली।,डूबते को तिनके का सहारा,['neutral'],['Khari Boli Hindi'],,,
दो नावों की सवारी,दो नावों की सवारी करने वालों को अंत में दोनों ही नावों से पानी में गिरना पड़ता है।,दो नावों की सवारी करने,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
साठे पर पाठा,टीम की हार के बाद कोच को साठे पर पाठा सुनना पड़ा।,साठे पर पाठा,['informal'],"['Haryanvi Hindi', 'Khari Boli Hindi']",,,
मुँहतोड़ जवाब,उसने मुँहतोड़ जवाब देकर अपने आलोचकों को चुप करा दिया।,मुँहतोड़ जवाब देकर,['informal'],['Khari Boli Hindi'],,,
मसें भीगना,"उसके बोलने से सब मसें भीग गए, भावुक हो गए।",मसें भीग गए,['informal'],['Khari Boli Hindi'],,,
सरकार का दामाद,ऐसे सरकार के दामादों की वजह से भ्रष्टाचार बढ़ता है।,सरकार के दामादों,"['informal', 'pejorative']",['Khari Boli Hindi'],,,
छत्तीस का आँकड़ा,"जब मैंने अपनी बात रखी, तो वे इसे छत्तीस का आँकड़ा समझकर अनसुना कर गए।",छत्तीस का आँकड़ा,['informal'],['Khari Boli Hindi'],,,
दूध का दूध और पानी का पानी,"उसने अपनी रिपोर्ट में दूध का दूध और पानी का पानी कर दिया, जिससे सबको न्याय मिला।",दूध का दूध और पानी का पानी कर दिया,"['neutral', 'formal']",['Khari Boli Hindi'],,,
अपना उल्लू सीधा करना,अगर तुम अपना उल्लू सीधा करोगे तो लोग तुम्हारी आलोचना करेंगे।,अपना उल्लू सीधा करोगे,['informal'],['Khari Boli Hindi'],,,
रामबाण,विवाद खत्म करने के लिए रामबाण उपाय अपनाना होगा।,रामबाण,"['neutral', 'formal']",['Khari Boli Hindi'],,,
बकरे की माँ कब तक ख़ैर मनायेगी,"तुम्हारी जीत हुई है, लेकिन बकरे की माँ कब तक ख़ैर मनाएगी, अभी चुनौती बाकी है।",बकरे की माँ कब तक ख़ैर मनाएगी,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
एक दूजे के वास्ते,"राज और प्रिया सचमुच एक दूजे के वास्ते हैं, उनकी जोड़ी कमाल की है।",एक दूजे के वास्ते,['informal'],['Khari Boli Hindi'],,,
अब पछताए क्या होत जब चिड़िया चुग गई खेत,"राजू ने समझाया कि अब पछताए क्या होत जब चिड़िया चुग गई खेत, आगे बढ़ो।",अब पछताए क्या होत जब चिड़िया चुग गई खेत,"['proverbial', 'neutral']",['Khari Boli Hindi'],,,
नौ दो ग्यारह होना,जब झगड़ा बढ़ा तो दोनों लड़के नौ दो ग्यारह हो गए।,नौ दो ग्यारह हो गए,['informal'],['Khari Boli Hindi'],,,
शब्दसागर,डॉ. शर्मा हिंदी साहित्य के शब्दसागर माने जाते हैं।,शब्दसागर,['formal'],['Khari Boli Hindi'],,,
नाम बड़े और दर्शन छोटे,"उस नेता का बयान नाम बड़े और दर्शन छोटे जैसा था, जो जनता को प्रभावित नहीं कर पाया।",नाम बड़े और दर्शन छोटे,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
साँच को आँच नहीं,"असली गवाह सामने आने पर, साँच को आँच नहीं सिद्ध हो गया।",साँच को आँच नहीं,"['proverbial', 'formal']",['Khari Boli Hindi'],,,
सीधी उंगली से घी नहीं निकलता,"क्या तुम सच में सोचते हो कि इस मामले में सीधी उंगली से घी निकल जाएगा? नहीं, थोड़ा चालाकी चाहिए।",सीधी उंगली से घी,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
खुजली,"उसमें देश सेवा करने की खुजली थी, इसलिए वह हमेशा तैयार रहता था।",खुजली,['informal'],['Khari Boli Hindi'],,,
पल्ले नहीं पड़ना,"पढ़ाई में मेहनत करने के बाद भी उसका पल्ला नहीं पड़ा, इसलिए वह निराश था।",पल्ला नहीं पड़ा,['informal'],['Khari Boli Hindi'],,,
आस्तीन का सांप,मेरी कंपनी में एक आस्तीन का सांप था जिसने हमारे राज़ों को प्रतिद्वंद्वी को बेच दिया।,आस्तीन का सांप,"['informal', 'pejorative']",['Khari Boli Hindi'],,,
बाल-बाल बचाना,"जब राकेश का कार एक्सीडेंट हुआ, तो डॉक्टरों ने उसे बाल-बाल बचाया।",बाल-बाल बचाया,['informal'],['Khari Boli Hindi'],,,
खाली दिमाग शैतान का घर,"गाँव के बुजुर्ग कहते हैं कि खाली दिमाग शैतान का घर होता है, इसलिए नौजवानों को काम में लगना चाहिए।",खाली दिमाग शैतान का घर,"['informal', 'proverb']",['Khari Boli Hindi'],,,
आम के आम गुठलियों के दाम,"मेरी माँ ने कहा कि पढ़ाई से आम के आम गुठलियों के दाम मिलते हैं, मतलब दो फायदे होते हैं।",आम के आम गुठलियों के दाम,"['informal', 'proverbial']",['Khari Boli Hindi'],,,
पाँचों उंगलियाँ बराबर नहीं होती,"पाँचों उंगलियाँ बराबर नहीं होती, इसलिए सभी कर्मचारियों को बराबर ही टास्क नहीं दिए जाते।",पाँचों उंगलियाँ बराबर नहीं होती,"['neutral', 'proverbial']",['Khari Boli Hindi'],,,
नवरत्न,इस संस्था के नवरत्न सदस्यों ने मिलकर संगठन को सफलता की ऊँचाइयों तक पहुँचाया।,नवरत्न,['neutral'],['Khari Boli Hindi'],,,
काम का न काज का दुश्मन अनाज का,अगर हम ऐसे काम का न काज का दुश्मन अनाज का लोगों को मौका देंगे तो परिवार का नुकसान होगा।,काम का न काज का दुश्मन अनाज का,"['informal', 'pejorative']",['Khari Boli Hindi'],,,
गले लगाना,शिक्षकों ने डिजिटल शिक्षा को गले लगाकर बच्चों के लिए नई राह बनाई।,गले लगाकर,['neutral'],['Khari Boli Hindi'],,,
