hindi,english
संवेदनशील,Sensitive
% i MiB% i MiB का,% i MiB of% i MiB
एटीके-हायपरलिंक वस्तु का प्रारंभ सूची,The start index of the AtkHyperlink object
फ़ाइल डाउनलोडकर्ता,File Downloader
सरल खोज रहा है,Simple searching
सीडी छवि सफलतापूर्वक बनाया गया,Image of CD successfully created
डिफ को पिछला,Diff to Previous
स्थानीय विडियो विंडो के स्क्रीन पर स्थिति,Position of the local video window
स्रोत,Source
सतल ऊँचाई,Surface height
अतिरिक्त डिपेंडेंसीज़ के लिए यह लक्ष्य. ,Additional dependencies for this target.
ईंट का चव्वा,the four of diamonds
रेग्युलर एक्सप्रेशन,Regular Expression
मेक gdb है पर सिस्टम नहीं,Make sure 'gdb' is installed on the system.
प्रारूप अधिकतर उत्तर अमेरिकी महाद्वीप पर प्रयुक्त होता है,Format used mostly on the North American Continent
स्वतः सहेजें,Autosave
ब्रैसेरो-नया वीडियो डिस्क परियोजना,Brasero — New Video Disc Project
% s h% s,% s h% s
% d,% d
जाँच संकुल,Check the packages that your project requires
प्लग-इन त्रुटियांviewport,Plugin Errors
नया मद (_ w) ,Ne _ w Item
चयनित लिंक,Selected Link
X सेटिंग,Settings…
सॉफ्ट,Soft
फ़ोल्डर को इंचः,Folder to create patches in:
अंजुता के लिए टर्मिनल प्लगिन,Terminal Plugin for Anjuta.
अगला पसंद,_ Next Bookmark
ढूंढें के लिए से. अंत और एट उपर नहीं नया पाया. ,"Search for ""% s"" reached the end and was continued at the top but no new match was found."
उपतरू,Subtree
"माउस के अधीन जो एक्सेसेबल है, उसे जांचें",Inspect accessible under mouse
परिवर्तन छुपाएँ (_ H) ,_ Hide changes
खोलें फ़ाइल,Search in project files
प्रोजेक्ट विन्यस्त करें,Configure Project
नया खाली फ़ाइल,New empty file
मुख्य विंडो की चौड़ाई,Width of the main window
निचली तारीख गलत है,Low date is incorrect
कृपया अपना प्रयोक्ता नाम भरेंः,Please enter your username:
CVS: Log file/directory,CVS: Log file / directory
Diff…,Diff…
फाइल छोड़ें (_ D) ,_ Discard File Selection
गनोम टर्मिनल प्रोफाइल का उपयोग करेंः,Use GNOME Terminal profile:
पियर से प्रमाण पत्र लेने में असमर्थ,"Unable to create a buffer, command aborted"
लेखकः,Composer:
संकुल से.. ,Missing packages:% s.
तीन पत्ते बांटें,Three card deals
"""% s"" में डिस्क निकाली नहीं जा सकती है","The disc in ""% s"" cannot be ejected"
वर्ग विकल्पः,Class Options:
फ़ाइल चेकसम,File Checksum
कृपया एंटर a नाम. ,Please enter a tag name.
क्या मेटा सक्रिय किया हुआ है,Whether the meta is enabled
संपादन (_ E) ,_ Edit
सी फ्लैग्सः,C + + compiler flags:
ब्रैसेरो — नया ऑडियो डिस्क परियोजना,Brasero — New Audio Disc Project
पूर्णांक पैरामीटर,Integer parameters
वीडियो प्रारूपः,Video format:
रिमोट पश्चात,Fetch remote branches after creation
चलाने के लिए लक्ष्य लोड करें,Load Target to run
प्रविष्ट,Insert into buffer
मौजूद प्लगिन,Available plugins
से. d फ़ाइल बाहर का d,% s:% d files scanned out of% d
वीसीडी छवि,VCD image
कैमरा से लिया गया तस्वीर का संतृप्ति समायोजित करें,Adjusts the saturation of the picture coming from the camera
सेल के भीतर कर्ता का लंबवत संरेखण,Vertical alignment of the actor within the cell
"वीडियो परियोजना के साथ दिखाने के लिए पट्टी. इसे निम्न में एक होना चाहिएः ""Chooser"", ""Search"" या ""Playlist"". ","The pane to display with video projects. It should be one of the following: ""Chooser"", ""Search"" or ""Playlist""."
एसवीसीडी छवि,SVCD image
- Integrated Development Environment,- Integrated Development Environment
gtk-doc सिस्टम जोड़ेंः,Add gtk - doc system:
क्या बॉक्स के शुरुआत में मदों को बांधना है,Whether to pack items at the start of the box
नया विंडो (_ N) ,New _ Window
Copyright (c) Naba Kumar,Copyright (c) Naba Kumar
सभी आलोकित करें,Highlight All
विकल्प,Options
संस्थापित पसंदीदा बर्न इंजन सूइट का नाम समाहित करता है. यह प्रयोग किया जाएगा यदि संभव है. ,Contains the name of the favourite burn engine suite installed. It will be used if possible.
के बारे में बाहरी प्लगइन्स,About External _ Plugins
कॉम्बो पेटी,combo box
जोड़ें,_ Add…
वर्तमान कॉल लें,Pick up the current call
चिड़ी की बेगम,the queen of clubs
मिलान,Match
बर्स्ट (_ B) ,Burst
प्रतिशत जिसके द्वारा गति को लौटाने पर घटाना है,Percentage by which to decrease speed upon reverse
संरचना स्लाइस की रचना को डीबग करें,debug the creation of texture slices
युक्ति का नाम,The name of the device
फ़ाइलनाम,Filename
मनपसंद,Custom
घुमाव का अक्ष,Axis of rotation
बतौर ब्रैसेरो ऑडियो परियोजना सहेजें,Save project as Brasero audio project
फाइलें जोड़ें,Flat Profile
वर्तमान फ़ाइल एक भिन्न नाम से सहेजें,Save the current file with a different name
शब्द के लिए कर्सर पर एपीआई प्रलेखन दिखाएँDevhelp,Show API Documentation for the word at the cursor
Generic python (automake) ,Generic python (automake)
काला जोकर,the black joker
ई-मेल पता,Email address:
बिल्ड (_ B) ,Build
(कोई विवरण नहीं) ,(no description)
आवरण,Cover
प्रोजेक्ट सहायक,Project Assistant
"समय, मिलीसेकेंड में, तस्वीर की बर्स्ट शृंखला में हर तस्वीर लेने के लिए अंतराल. ","The length of time, in milliseconds, to delay between taking each photo in a burst sequence of photos."
कमिट को सबवर्सन ट्री,Commit your changes to the Subversion tree
"क्या आप ""% s"" को जोड़ना चाहते हैं जो कि एक वीडियो फ़ाइल है? ","Do you want to add ""% s"", which is a video file?"
इस ट्रैक को अलग करेंSplit this track in,Split this track in
नाम बदलें (_ R) ,_ Rename
पाठ को प्रयोक्ता को एंटर प्रविष्टि,Text to show the user what to enter into the entry
विषय सूची (_ C) ,_ Contents
अनुप्रयोग विकल्प,Application Options
संदेश,Message
मैनेजर प्लगिन डिबग करें,Debug Manager plugin.
नहीं,No
स्थिति,Condition
Anjuta चर,Anjuta variables
को खाली संदेश? ,Are you sure that you want to pass an empty log message?
चिड़ी का नहला,the nine of clubs
फ़ाइल नाम,Currently edited file name
जारी रखें लागू कर रहा है के साथ परस्पर विरोध,Continue applying patches with resolved conflicts
नहीं खोलें अंतिम सत्र पर,Do not open last session on startup
mno,mno
तस्वीर विरोध,Picture contrast
छवि बना रहा है,Creating image
CD में छवि को सफलतापूर्वक लिखा गया,Image successfully burned to CD
ब्रैसेरो मीडिया लाइब्रेरी के लिए डिबग कथन या stdout दिखाएँ,Display debug statements on stdout for Brasero media library
"समय, मिलीसेकेंड में, तस्वीर की बर्स्ट शृंखला में हर तस्वीर लेने के लिए अंतराल. ","The length of time, in milliseconds, to delay between taking each photo in a burst sequence of photos."
चुनें,Select sources…
चयनित रिमोट,Rebase against selected remote
संकेतक दृष्टिगोचर,Cursor Visible
% s किसी समुच्चय का सदस्य नहीं है,% s does not belong to a set
पहुँच योग्य मूल्य,Accessible Value
परिवर्तन दिखाएँ (_ S) ,_ Show changes
नहीं खोलें अंतिम और फ़ाइल पर,Do not open last project and files on startup
टॉगल एट स्थान,Toggle breakpoint at the current location
% s:% s,% s:% s
कॉल फिर प्राप्त करें (_ R) ,_ Retrieve Call
चार,Four
कया आप सचमुच लागाउट करना चाहेंगे? ,Are you sure that you do not want a log message?
मत बाँटें (_ D) ,_ Don 't split
X अक्ष पर घुमाव कोण,The rotation angle on the X axis
पैचेस,_ Patch…
फ़ाइलतंत्र जिसे आपने चुना अस्थायी छवियों को जमा करने के लिए वह 2 GiB से अधिक आकार की फ़ाइलों को रख नहीं सकता है,The filesystem you chose to store the temporary image on cannot hold files with a size over 2 GiB
चलाने लायक टेक्स्ट फाइल,Language - specific commands:
असफल को फीफो फ़ाइल named से. प्रोग्राम a टर्मिनल. ,Failed to create FIFO file named% s. The program will run without a terminal.
हिस्से,Function Name
ट्रैक को इसके अंत में पैडेड किया जाएगा. ,The track will be padded at its end.
"""% s"":% s","""% s"":% s"
URI को जोड़ता हुआ ऑडियो परियोजना खोलें जो कि कमांड लाइन पर दी गई है,Open an audio project adding the URIs given on the command line
बदलें स्थान (_ C) ,_ Change Location
स्ट्रिंग के एलिप्साइड के लिए पसंदीदा जगह,The preferred place to ellipsize the string
सहायक विंडो की ऊंचाई,Height of assistant window
श्रोत दिखाएं,View Source
ढूंढें (_ S) ,_ Search
कम्पाइल फ़ाइल,Compile current editor file
रेपोसिटरी जोड़ें,Add to Repository
विशेषताएँ,Project properties
4number,4
"यदि सही पर सेट किया जाता है, तब चीज फीचर रखेगा जो किसी फ़ाइल को तत्काल यथास्थान मिटाने की अनुमति देगा, इसे रद्दी में भेजने के बदले. यह फीचर खतरनाक हो सकता है इसलिए सावधानी बरतें. ","If set to true, then Cheese will have a feature allowing you to delete a file immediately and in - place, instead of moving it to the trash. This feature can be dangerous, so use caution."
बैकअप फ़ाइल नहीं दिखाएँ,Do not show backup files
परियोजना छोड़ें (_ D) ,_ Discard Project
चौड़ाई विभेदन,Width resolution
स्क्रॉल पट्टी,scroll bar
अनुपस्थित क़िस्म द्वारा प्लगइन से. ,Missing type defined by plugin% s
पिछला ढूंढें,Find Previous
X कॉल को समतुल्यकालिक बनायें,Make X calls synchronous
~ a को अज्ञात पत्ता से बाहर ले जाएँ,Move ~ a onto the unknown card.
हमेशा बनाए रखें (_ e) ,Always K _ eep
नई परियोजना बनाएँः,Create a new project:
नहीं अनुप्रयोग फ़ाइल से. ,Could not find application pixmap file:% s
अवैध प्रविष्टि,< Invalid >
पंक्ति संख्या प्रदर्शित करें,Show Line Markers
टर्मिनल संचालन,terminal operations
सारे आयताकार ज्यामिति के लिए तार रूपरेखा जोड़ें,Add wire outlines for all rectangular geometry
हटाएं (_ R) ,_ Remove
इंटरफेसः,Interface:
सभी आलोकित करें,Highlight All
इस बनावट के लिए पिक्समेप का चौड़ाई बाध्य हैं,The width of the pixmap bound to this texture
संपादक,Editor syntax highlighting styles
~ a को एक ईंट का दुक्का पर ले जाएँ,Move ~ a onto the two of diamonds.
कर्सर में चलाएँ,Run to the cursor
छवि बना रहा है,Creating image
क्षेत्र से. रखता है अक्षर या अनुसरण कर रहा है अक्षर अन्दर a डैश कृपया. ,"Field ""% s"" must contains only letters, digits or the following characters ""# $:%% +,. = @ ^ _ `~"". In addition you cannot have a leading dash. Please fix it."
बिल्ड पॉपअप कमांड,Build popup commands
कोई सीडी/डीवीडी बनाएँ जो किसी प्रकार का आँकड़ा समाहित करता है जो किसी कंप्यूटर पर पढ़ा जा सके,Create a CD / DVD containing any type of data that can only be read on a computer
~ a को एक आधार पर ले जाएँ. ,Move ~ a onto the foundation.
गहराई अंत,End Depth
किसी वस्तु को खाली तस्वीर खाँचे में ले जाएँ,Move something onto an empty tableau slot.
सूची बॉक्स,list box
लोड किया,Loaded
चयनित चैनल खोल नहीं सका. ,Could not open the chosen channel.
गुण नाम को सजीव करें,The name of the property to animate
वीडियो विकल्प,Video Options
"पथ परिभाषित करें जहाँ तस्वीर जमा हैं. यदि रिक्त है, ""XDG _ PHOTO/Webcam"" को प्रयोग किया जाएगा. ","Defines the path where the photos are stored. If empty, ""XDG _ PHOTO / Webcam"" will be used."
रोडेट लेवल% d रंग,Quote level% d color
सभी फ़ाइलें इस संक्रिया के पूरा किए जाने के लिए विश्लेषित की जानी है. ,All files need to be analysed to complete this operation.
चुनें फ़ाइल को जोड़ें,_ Select file to add…
डिस्क से छवि लोड करते समय थ्रेड के भीतर फाइल लोड करके ब्लॉकिंग से बचें,Load files inside a thread to avoid blocking when loading images from disk
पंक्ति संख्या,Row Number
एक हाथ और बांटें,Deal another hand
हुकुम की गुलाम के बगल में हुकुम के दहला को रखें. ,Place the jack of spades next to the ten of spades.
Anjuta स्थिति,Anjuta Manual
अल्फा,Alpha
कुँजीपट की न्यूनतम पारदर्शिता,Minimal opacity of keyboard
फोल्डर खोलें (_ O) ,_ Open Folder
